created_at,entry_id,TEMPERATURE,TURBIDITY,DISSOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Lenght,Weight
2023-05-01 08:00:00,201,26.51,15.14,6.38,8.109,1.1938,42.34,1250,7.88,78.15
2023-05-01 08:30:00,202,30.29,19.45,8.34,7.991,1.3277,37.05,1211,8.02,82.85
2023-05-01 09:00:00,203,28.75,49.15,8.38,8.175,0.5237,31.97,1442,7.94,79.28
2023-05-01 09:30:00,204,30.36,45.75,6.37,7.679,0.6981,5.23,1036,7.88,82.23
2023-05-01 10:00:00,205,29.1,39.67,7.99,7.147,0.6276,23.63,1205,8.16,80.79
2023-05-01 10:30:00,206,29.04,54.79,7.71,7.028,0.0297,27.85,1407,8.19,83.05
2023-05-01 11:00:00,207,26.81,39.16,6.08,7.062,0.451,17.16,1221,8.03,81.95
2023-05-01 11:30:00,208,27.16,33.35,5.81,6.828,0.6942,17.72,1046,8.16,80.99
2023-05-01 12:00:00,209,31.22,27.02,6.6,7.347,0.6225,43.45,871,8.26,84.97
2023-05-01 12:30:00,210,27.53,57.02,7.73,7.068,1.0857,40.67,984,8.2,84.03
2023-05-01 13:00:00,211,31.31,14.14,8.36,7.376,0.5834,38.97,805,8.08,85.57
2023-05-01 13:30:00,212,29.11,56.54,7.67,8.109,0.7392,21.24,1005,8.2,84.64
2023-05-01 14:00:00,213,27.14,51.34,7.99,7.403,0.6501,5.55,1343,8.37,83.34
2023-05-01 14:30:00,214,26.98,16.5,7.11,8.029,1.1135,8.21,1410,8.28,88.67
2023-05-01 15:00:00,215,27.54,38.25,7.92,7.648,1.2958,17.49,1186,8.33,88.47
2023-05-01 15:30:00,216,31.13,53.33,7.75,7.146,0.8025,5.63,1498,8.33,86.37
2023-05-01 16:00:00,217,28.57,38.59,6.32,7.298,1.1863,5.69,875,8.23,88.14
2023-05-01 16:30:00,218,28.47,55.36,6.93,6.917,0.4522,41.66,976,8.28,90.58
2023-05-01 17:00:00,219,28.05,57.15,7.82,7.267,0.8166,33.25,1148,8.39,88.09
2023-05-01 17:30:00,220,27.21,31.12,5.16,7.749,0.5244,17.36,1054,8.46,88.9
2023-05-01 18:00:00,221,28.89,28.87,7.83,6.901,0.6272,10.31,1107,8.51,90.49
2023-05-01 18:30:00,222,27.08,56.82,5.62,7.088,1.1013,25.47,1144,8.33,89.58
2023-05-01 19:00:00,223,30.58,43.76,6.8,7.334,1.3237,5.21,926,8.48,92.71
2023-05-01 19:30:00,224,28.22,15.8,7.83,8.175,0.191,42.54,1086,8.58,91.16
2023-05-01 20:00:00,225,28.21,12.11,5.89,7.899,0.9556,21.59,1395,8.38,90.43
