created_at,entry_id,TEMPERATURE,TURBIDITY,DISSOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight
2023-01-01 08:00:00+05:30,1,28.07,16.99,5.94,6.922,0.2814,16.39,1059,5.05,10.72
2023-01-01 08:30:00+05:30,2,27.42,49.76,6.9,7.372,1.1867,17.29,1414,5.01,11.62
2023-01-01 09:00:00+05:30,3,26.38,20.08,7.22,7.322,0.9915,37.12,1351,5.1,13.17
2023-01-01 09:30:00+05:30,4,30.47,18.18,5.9,7.164,0.7523,26.57,900,5.21,13.61
2023-01-01 10:00:00+05:30,5,30.26,18.21,5.49,7.813,0.8375,17.45,1158,5.06,9.24
2023-01-01 10:30:00+05:30,6,31.24,50.73,7.92,7.494,1.0816,29.41,1179,5.08,10.62
2023-01-01 11:00:00+05:30,7,31.27,43.26,8.45,6.913,0.3504,33.65,1020,5.28,14.03
2023-01-01 11:30:00+05:30,8,29.1,36.15,6.84,7.108,1.4945,15.9,1219,5.22,14.53
2023-01-01 12:00:00+05:30,9,30.2,27.94,5.6,7.757,1.4624,21.54,923,5.11,15.03
2023-01-01 12:30:00+05:30,10,31.12,53.86,5.95,6.907,0.979,9.88,1221,5.23,22.21
2023-01-01 13:00:00+05:30,11,30.67,29.62,5.06,7.992,0.3073,12.25,1030,5.15,16.14
2023-01-01 13:30:00+05:30,12,27.68,50.83,8.2,7.493,1.0235,32.24,1489,5.17,17.77
2023-01-01 14:00:00+05:30,13,28.72,31.96,5.41,7.473,0.1176,12.26,862,5.26,17.91
2023-01-01 14:30:00+05:30,14,27.13,28.85,7.02,7.629,0.0557,26.01,1284,5.07,17.8
2023-01-01 15:00:00+05:30,15,31.26,33.13,5.96,7.955,0.3939,33.36,1427,5.11,16.37
2023-01-01 15:30:00+05:30,16,29.53,25.07,6.94,7.287,0.6993,9.28,1373,5.24,19.02
2023-01-01 16:00:00+05:30,17,27.64,47.38,7.28,7.749,1.3037,27.69,1282,5.22,16.45
2023-01-01 16:30:00+05:30,18,29.85,35.14,7.9,7.592,1.0935,15.26,1318,5.37,18.03
2023-01-01 17:00:00+05:30,19,29.58,21.61,5.72,7.174,1.1166,43.52,954,5.27,18.03
2023-01-01 17:30:00+05:30,20,28.26,54.98,5.04,8.03,0.644,24.34,891,5.24,19.66
2023-01-01 18:00:00+05:30,21,27.02,29.19,5.48,7.916,0.5254,37.24,1325,5.55,24.63
2023-01-01 18:30:00+05:30,22,29.79,37.18,8.15,7.722,0.5628,27.01,1254,5.4,16.77
2023-01-01 19:00:00+05:30,23,29.01,55.32,8.06,7.991,1.4816,6.74,1397,5.45,22.37
