window_start,TEMPERATURE_mean,TEMPERATURE_min,TEMPERATURE_max,TEMPERATURE_std,TURBIDITY_mean,TURBIDITY_min,TURBIDITY_max,TURBIDITY_std,DISSOLVED OXYGEN_mean,DISSOLVED OXYGEN_min,DISSOLVED OXYGEN_max,DISSOLVED OXYGEN_std,pH_mean,pH_min,pH_max,pH_std,AMMONIA_mean,AMMONIA_min,AMMONIA_max,AMMONIA_std,NITRATE_mean,NITRATE_min,NITRATE_max,NITRATE_std,Population_mean,Population_min,Population_max,Population_std,Length_mean,Weight_mean,next_weight,weight_gain
2023-01-01 02:00:00+00:00,28.07,28.07,28.07,,16.99,16.99,16.99,,5.94,5.94,5.94,,6.922,6.922,6.922,,0.2814,0.2814,0.2814,,16.39,16.39,16.39,,1059.0,1059.0,1059.0,,5.05,10.72,12.395,1.674999999999999
2023-01-01 03:00:00+00:00,26.9,26.38,27.42,0.73539105243401,34.92,20.08,49.76,20.986929265616734,7.0600000000000005,6.9,7.22,0.22627416997969446,7.3469999999999995,7.322,7.372,0.03535533905932694,1.0891000000000002,0.9915,1.1867,0.13802724368761418,27.205,17.29,37.12,14.021927470929237,1382.5,1351.0,1414.0,44.54772721475249,5.055,12.395,11.425,-0.9699999999999989
2023-01-01 04:00:00+00:00,30.365000000000002,30.26,30.47,0.14849242404917432,18.195,18.18,18.21,0.02121320343559723,5.695,5.49,5.9,0.28991378028648457,7.4885,7.164,7.813,0.458912300990069,0.7948999999999999,0.7523,0.8375,0.060245497757093924,22.009999999999998,17.45,26.57,6.448813844421313,1029.0,900.0,1158.0,182.43354954612926,5.135,11.425,12.325,0.8999999999999986
2023-01-01 05:00:00+00:00,31.255,31.24,31.27,0.02121320343559723,46.995,43.26,50.73,5.282087655463509,8.184999999999999,7.92,8.45,0.37476659402887036,7.2035,6.913,7.494,0.4108290398693838,0.716,0.3504,1.0816,0.5170364784036035,31.53,29.41,33.65,2.998132752230959,1099.5,1020.0,1179.0,112.42997820866105,5.18,12.325,14.78,2.455
2023-01-01 06:00:00+00:00,29.65,29.1,30.2,0.7778174593052021,32.045,27.94,36.15,5.805346673541554,6.22,5.6,6.84,0.876812408671319,7.432499999999999,7.108,7.757,0.4589123009900697,1.47845,1.4624,1.4945,0.022698127676088267,18.72,15.9,21.54,3.988082245892128,1071.0,923.0,1219.0,209.30360723121808,5.165,14.78,19.175,4.395000000000001
2023-01-01 07:00:00+00:00,30.895000000000003,30.67,31.12,0.31819805153394715,41.74,29.62,53.86,17.140268375961913,5.505,5.06,5.95,0.6293250352560277,7.4495000000000005,6.907,7.992,0.7672108575874037,0.64315,0.3073,0.979,0.4749636249230039,11.065000000000001,9.88,12.25,1.6758430714121164,1125.5,1030.0,1221.0,135.0573952066306,5.19,19.175,17.84,-1.3350000000000009
2023-01-01 08:00:00+00:00,28.2,27.68,28.72,0.7353910524340088,41.394999999999996,31.96,50.83,13.343104960990148,6.805,5.41,8.2,1.972827919510467,7.4830000000000005,7.473,7.493,0.01414213562373159,0.57055,0.1176,1.0235,0.6405680330768935,22.25,12.26,32.24,14.127993488107222,1175.5,862.0,1489.0,443.3559518039653,5.215,17.84,17.085,-0.754999999999999
2023-01-01 09:00:00+00:00,29.195,27.13,31.26,2.920351006300443,30.990000000000002,28.85,33.13,3.0264170234784245,6.49,5.96,7.02,0.7495331880577404,7.792,7.629,7.955,0.23051681066681484,0.2248,0.0557,0.3939,0.23914351339729034,29.685000000000002,26.01,33.36,5.197234841721122,1355.5,1284.0,1427.0,101.1162697096763,5.09,17.085,17.735,0.6499999999999986
2023-01-01 10:00:00+00:00,28.585,27.64,29.53,1.3364318164425752,36.225,25.07,47.38,15.775552288271877,7.11,6.94,7.28,0.24041630560342606,7.518,7.287,7.749,0.3266833329081848,1.0015,0.6993,1.3037,0.4273753385491494,18.485,9.28,27.69,13.017835841644343,1327.5,1282.0,1373.0,64.34671708797582,5.23,17.735,18.03,0.2950000000000017
2023-01-01 11:00:00+00:00,29.715,29.58,29.85,0.19091883092037004,28.375,21.61,35.14,9.567154749453989,6.8100000000000005,5.72,7.9,1.5414927829866742,7.383,7.174,7.592,0.2955706345359763,1.1050499999999999,1.0935,1.1166,0.01633416664540941,29.39,15.26,43.52,19.982837636331837,1136.0,954.0,1318.0,257.3868683519033,5.32,18.03,22.145,4.114999999999998
